current_label,component,path,bytes,dtype_inferred,rows_if_configured_cols,configured_cols,remainder_bytes
0.1,features_y,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260411_v100_interactive/shared_data/track4_hh_full/concatenated_data/y/concatenated_data_0.1_curr.npy,24000000000,float32_raw_binary,15000,400000,0
0.1,targets_generated_params,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260411_v100_interactive/shared_data/track4_hh_full/concatenated_data/generated_params/concatenated_data_0.1_curr.npy,360000,float32_raw_binary,15000,6,0
0.1,support_stats,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260411_v100_interactive/shared_data/track4_hh_full/concatenated_data/support_stats/concatenated_data_0.1_curr.npy,80000,float32_raw_binary,10000,2,0
0.2,features_y,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260411_v100_interactive/shared_data/track4_hh_full/concatenated_data/y/concatenated_data_0.2_curr.npy,24000000000,float32_raw_binary,15000,400000,0
0.2,targets_generated_params,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260411_v100_interactive/shared_data/track4_hh_full/concatenated_data/generated_params/concatenated_data_0.2_curr.npy,360000,float32_raw_binary,15000,6,0
0.2,support_stats,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260411_v100_interactive/shared_data/track4_hh_full/concatenated_data/support_stats/concatenated_data_0.2_curr.npy,80000,float32_raw_binary,10000,2,0
0.3,features_y,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260411_v100_interactive/shared_data/track4_hh_full/concatenated_data/y/concatenated_data_0.3_curr.npy,24000000000,float32_raw_binary,15000,400000,0
0.3,targets_generated_params,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260411_v100_interactive/shared_data/track4_hh_full/concatenated_data/generated_params/concatenated_data_0.3_curr.npy,360000,float32_raw_binary,15000,6,0
0.3,support_stats,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260411_v100_interactive/shared_data/track4_hh_full/concatenated_data/support_stats/concatenated_data_0.3_curr.npy,80000,float32_raw_binary,10000,2,0
0.4,features_y,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260411_v100_interactive/shared_data/track4_hh_full/concatenated_data/y/concatenated_data_0.4_curr.npy,24000000000,float32_raw_binary,15000,400000,0
0.4,targets_generated_params,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260411_v100_interactive/shared_data/track4_hh_full/concatenated_data/generated_params/concatenated_data_0.4_curr.npy,360000,float32_raw_binary,15000,6,0
0.4,support_stats,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260411_v100_interactive/shared_data/track4_hh_full/concatenated_data/support_stats/concatenated_data_0.4_curr.npy,80000,float32_raw_binary,10000,2,0
0.5,features_y,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260411_v100_interactive/shared_data/track4_hh_full/concatenated_data/y/concatenated_data_0.5_curr.npy,24000000000,float32_raw_binary,15000,400000,0
0.5,targets_generated_params,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260411_v100_interactive/shared_data/track4_hh_full/concatenated_data/generated_params/concatenated_data_0.5_curr.npy,360000,float32_raw_binary,15000,6,0
0.5,support_stats,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260411_v100_interactive/shared_data/track4_hh_full/concatenated_data/support_stats/concatenated_data_0.5_curr.npy,80000,float32_raw_binary,10000,2,0
