run_name,optimizer_family,objective_mode,status,pulse_window,support_variant,trace_length,current_gain_bounds,trace_weight,mean_objective,best_objective,mean_trace_rmse_z,best_trace_rmse_z,mean_summary_rel_l1,best_summary_rel_l1,notes
bptt_fit_featureonly_broad_shortpulse,adam_bptt,feature_only,completed, - ,broad,,,0.0,,1.3992358446121216,,1.5152674913406372,,0.5242981910705566,adam_bptt best-step metrics
bptt_fit_featureonly_narrow_shortpulse,adam_bptt,feature_only,completed, - ,narrow,,,0.0,,1.400233268737793,,1.53474760055542,,0.5246865153312683,adam_bptt best-step metrics
bptt_fit_lowcurrent_broad_shortpulse,adam_bptt,hybrid_trace_feature,completed, - ,broad,,,1.0,,2.3478708267211914,,1.1841446161270142,,0.5458637475967407,adam_bptt best-step metrics
bptt_fit_lowcurrent_broad_shortpulse_seed3302,adam_bptt,hybrid_trace_feature,completed, - ,broad,,,1.0,,2.7953360080718994,,1.1242973804473877,,0.17880083620548248,adam_bptt best-step metrics
bptt_fit_lowcurrent_narrow_shortpulse,adam_bptt,hybrid_trace_feature,completed, - ,narrow,,,1.0,,2.5750930309295654,,1.5129345655441284,,0.5255729556083679,adam_bptt best-step metrics
fit_search_featureonly_broad_shortpulse,differential_evolution,feature_only,completed,0.25 - 0.75,broad,2000,"[2.0, 20.0]",1.0,1.6005005886951535,1.5718343459826944,1.497895852724711,1.518998908996582,0.3658709218927922,0.16451979636947447,differential_evolution aggregate metrics
fit_search_featureonly_narrow_shortpulse,differential_evolution,feature_only,completed,0.25 - 0.75,narrow,2000,"[2.0, 20.0]",1.0,1.6025914616045736,1.5740346383327661,1.5508358200391132,1.6378191232681274,0.36447369144369013,0.16371644157972037,differential_evolution aggregate metrics
fit_search_lowcurrent_broad,differential_evolution,hybrid_trace_feature,completed,0.1 - 0.9,broad,2000,"[2.0, 20.0]",1.0,2.746385834761584,2.7040481219657466,1.26488755941391,1.2161638975143432,0.3781924342417566,0.4579835361086104,differential_evolution aggregate metrics
fit_search_lowcurrent_broad_shortpulse,differential_evolution,hybrid_trace_feature,completed,0.25 - 0.75,broad,2000,"[2.0, 20.0]",1.0,2.7049698744522743,2.668260887185062,1.2283913215001425,1.160409724712372,0.3796013994990238,0.4596030739347,differential_evolution aggregate metrics
fit_search_lowcurrent_narrow,differential_evolution,hybrid_trace_feature,completed,0.1 - 0.9,narrow,2000,"[2.0, 20.0]",1.0,2.8404820403502815,2.7636922528788554,1.3798317154248556,1.4760832905769348,0.3763879502836352,0.4952784590238634,differential_evolution aggregate metrics
fit_search_lowcurrent_narrow_shortpulse,differential_evolution,hybrid_trace_feature,completed,0.25 - 0.75,narrow,2000,"[2.0, 20.0]",1.0,2.7951818753388786,2.6982960834307197,1.365084493160248,1.4074394583702088,0.3747912376085041,0.4978184736358563,differential_evolution aggregate metrics
