row_id,label,status,node,started_at,ended_at,return_code,command,stdout_log,stderr_log
acdhh_13033,prediction_swyft_tmnre_schedule_matrix_v100_20260425_median,COMPLETED,fal102,2026-04-26T08:55:07-04:00,2026-04-26T08:55:29-04:00,0,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /projects/neuro-collab/conda/neuro-collab-env/bin/python scripts/run_hh_track4_assumption_conditioned_hybrid_refinement_surrogate_bundle_integration_20260425.py --bundle-label prediction_swyft_tmnre_schedule_matrix_v100_20260425_median --init-mode prediction --prediction-file /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_run_all_literature_plan/runs/swyft_tmnre_schedule_matrix_v100_20260425/predictions_median.npz --n-exemplars 3 --trace-length 2000 --maxiter 120,data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_13033.out,data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_13033.err
acdhh_13034,prediction_swyft_native_v100_20260425_median,COMPLETED,fal103,2026-04-26T08:55:07-04:00,2026-04-26T08:55:35-04:00,0,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /projects/neuro-collab/conda/neuro-collab-env/bin/python scripts/run_hh_track4_assumption_conditioned_hybrid_refinement_surrogate_bundle_integration_20260425.py --bundle-label prediction_swyft_native_v100_20260425_median --init-mode prediction --prediction-file /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_run_all_literature_plan/runs/swyft_native_v100_20260425/predictions_median.npz --n-exemplars 3 --trace-length 2000 --maxiter 120,data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_13034.out,data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_13034.err
acdhh_13032,prediction_swyft_native_v100_20260425_mean,COMPLETED,fal101,2026-04-26T08:55:07-04:00,2026-04-26T08:55:41-04:00,0,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /projects/neuro-collab/conda/neuro-collab-env/bin/python scripts/run_hh_track4_assumption_conditioned_hybrid_refinement_surrogate_bundle_integration_20260425.py --bundle-label prediction_swyft_native_v100_20260425_mean --init-mode prediction --prediction-file /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_run_all_literature_plan/runs/swyft_native_v100_20260425/predictions_mean.npz --n-exemplars 3 --trace-length 2000 --maxiter 120,data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_13032.out,data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_13032.err
acdhh_13036,prediction_swyft_tmnre_native_v100_20260425_mean,COMPLETED,fal108,2026-04-26T08:55:07-04:00,2026-04-26T08:55:41-04:00,0,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /projects/neuro-collab/conda/neuro-collab-env/bin/python scripts/run_hh_track4_assumption_conditioned_hybrid_refinement_surrogate_bundle_integration_20260425.py --bundle-label prediction_swyft_tmnre_native_v100_20260425_mean --init-mode prediction --prediction-file /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_run_all_literature_plan/runs/swyft_tmnre_native_v100_20260425/predictions_mean.npz --n-exemplars 3 --trace-length 2000 --maxiter 120,data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_13036.out,data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_13036.err
acdhh_13037,prediction_swyft_tmnre_native_v100_20260425_median,COMPLETED,fal102,2026-04-26T08:55:30-04:00,2026-04-26T08:55:57-04:00,0,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /projects/neuro-collab/conda/neuro-collab-env/bin/python scripts/run_hh_track4_assumption_conditioned_hybrid_refinement_surrogate_bundle_integration_20260425.py --bundle-label prediction_swyft_tmnre_native_v100_20260425_median --init-mode prediction --prediction-file /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_run_all_literature_plan/runs/swyft_tmnre_native_v100_20260425/predictions_median.npz --n-exemplars 3 --trace-length 2000 --maxiter 120,data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_13037.out,data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_13037.err
acdhh_13038,prediction_swyft_native_concat_small_v100_20260425_mean,COMPLETED,fal103,2026-04-26T08:55:36-04:00,2026-04-26T08:55:57-04:00,0,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /projects/neuro-collab/conda/neuro-collab-env/bin/python scripts/run_hh_track4_assumption_conditioned_hybrid_refinement_surrogate_bundle_integration_20260425.py --bundle-label prediction_swyft_native_concat_small_v100_20260425_mean --init-mode prediction --prediction-file /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_run_all_literature_plan/runs/swyft_native_concat_small_v100_20260425/predictions_mean.npz --n-exemplars 3 --trace-length 2000 --maxiter 120,data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_13038.out,data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_13038.err
acdhh_13042,prediction_swyft_native_v100_20260425_medoid,COMPLETED,fal102,2026-04-26T08:55:52-04:00,2026-04-26T08:56:03-04:00,0,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /projects/neuro-collab/conda/neuro-collab-env/bin/python scripts/run_hh_track4_assumption_conditioned_hybrid_refinement_surrogate_bundle_integration_20260425.py --bundle-label prediction_swyft_native_v100_20260425_medoid --init-mode prediction --prediction-file /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_run_all_literature_plan/runs/swyft_native_v100_20260425/predictions_medoid.npz --n-exemplars 3 --trace-length 2000 --maxiter 120,data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_13042.out,data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_13042.err
acdhh_13039,prediction_swyft_tmnre_score_prune_structured_v100_20260426_map_bank,COMPLETED,fal101,2026-04-26T08:55:41-04:00,2026-04-26T08:56:09-04:00,0,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /projects/neuro-collab/conda/neuro-collab-env/bin/python scripts/run_hh_track4_assumption_conditioned_hybrid_refinement_surrogate_bundle_integration_20260425.py --bundle-label prediction_swyft_tmnre_score_prune_structured_v100_20260426_map_bank --init-mode prediction --prediction-file /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_run_all_literature_plan/runs/swyft_tmnre_score_prune_structured_v100_20260426/predictions_map_bank.npz --n-exemplars 3 --trace-length 2000 --maxiter 120,data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_13039.out,data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_13039.err
acdhh_13041,prediction_swyft_tmnre_structured_stage1_v100_20260425_map_bank,COMPLETED,fal108,2026-04-26T08:55:41-04:00,2026-04-26T08:56:09-04:00,0,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /projects/neuro-collab/conda/neuro-collab-env/bin/python scripts/run_hh_track4_assumption_conditioned_hybrid_refinement_surrogate_bundle_integration_20260425.py --bundle-label prediction_swyft_tmnre_structured_stage1_v100_20260425_map_bank --init-mode prediction --prediction-file /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_run_all_literature_plan/runs/swyft_tmnre_structured_stage1_v100_20260425/predictions_map_bank.npz --n-exemplars 3 --trace-length 2000 --maxiter 120,data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_13041.out,data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_13041.err
acdhh_13045,prediction_swyft_tmnre_native_v100_20260425_medoid,COMPLETED,fal101,2026-04-26T08:56:09-04:00,2026-04-26T08:56:20-04:00,0,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /projects/neuro-collab/conda/neuro-collab-env/bin/python scripts/run_hh_track4_assumption_conditioned_hybrid_refinement_surrogate_bundle_integration_20260425.py --bundle-label prediction_swyft_tmnre_native_v100_20260425_medoid --init-mode prediction --prediction-file /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_run_all_literature_plan/runs/swyft_tmnre_native_v100_20260425/predictions_medoid.npz --n-exemplars 3 --trace-length 2000 --maxiter 120,data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_13045.out,data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_13045.err
