current_label,role,selection_scope,interpretation
0.05,candidate_only,surrogate_active_sequential_design,relative_current_multiplier
0.10,candidate_only,surrogate_active_sequential_design,relative_current_multiplier
0.15,candidate_only,surrogate_active_sequential_design,relative_current_multiplier
0.20,candidate_only,surrogate_active_sequential_design,relative_current_multiplier
0.25,candidate_only,surrogate_active_sequential_design,relative_current_multiplier
0.30,candidate_only,surrogate_active_sequential_design,relative_current_multiplier
0.35,candidate_only,surrogate_active_sequential_design,relative_current_multiplier
0.40,candidate_only,surrogate_active_sequential_design,relative_current_multiplier
0.45,candidate_only,surrogate_active_sequential_design,relative_current_multiplier
0.50,candidate_only,surrogate_active_sequential_design,relative_current_multiplier
0.55,candidate_only,surrogate_active_sequential_design,relative_current_multiplier
0.60,candidate_only,surrogate_active_sequential_design,relative_current_multiplier
