run_name,task_id,family,comparability_class,decision_rule,mae,mse,r2,prediction_file,source
a30lit__simformer_official_hh_primary_20260426,a30lit__simformer_official_hh_primary_20260426,simformer,upstream_hh_benchmark_not_directly_comparable,mean,7.624423503875732,123.33366394042969,0.963939874132311,runs/phaseLIT_new_methods/simformer_official_hh_primary_20260426/predictions_mean.npz,runs/phaseLIT_new_methods/simformer_official_hh_primary_20260426
a30lit__simformer_official_hh_secondary_20260426,a30lit__simformer_official_hh_secondary_20260426,simformer,upstream_hh_benchmark_not_directly_comparable,mean,7.624423503875732,123.33366394042969,0.963939874132311,runs/phaseLIT_new_methods/simformer_official_hh_secondary_20260426/predictions_mean.npz,runs/phaseLIT_new_methods/simformer_official_hh_secondary_20260426
a30lit__simformer_official_hh_primary_20260426,a30lit__simformer_official_hh_primary_20260426,simformer,upstream_hh_benchmark_not_directly_comparable,median,7.722269058227539,124.43177795410156,0.9636188083117497,runs/phaseLIT_new_methods/simformer_official_hh_primary_20260426/predictions_median.npz,runs/phaseLIT_new_methods/simformer_official_hh_primary_20260426
a30lit__simformer_official_hh_secondary_20260426,a30lit__simformer_official_hh_secondary_20260426,simformer,upstream_hh_benchmark_not_directly_comparable,median,7.722269058227539,124.43177795410156,0.9636188083117497,runs/phaseLIT_new_methods/simformer_official_hh_secondary_20260426/predictions_median.npz,runs/phaseLIT_new_methods/simformer_official_hh_secondary_20260426
a30lit__simformer_official_hh_primary_20260426,a30lit__simformer_official_hh_primary_20260426,simformer,upstream_hh_benchmark_not_directly_comparable,medoid,8.636680603027344,142.54263305664062,0.9583235819408693,runs/phaseLIT_new_methods/simformer_official_hh_primary_20260426/predictions_medoid.npz,runs/phaseLIT_new_methods/simformer_official_hh_primary_20260426
a30lit__simformer_official_hh_secondary_20260426,a30lit__simformer_official_hh_secondary_20260426,simformer,upstream_hh_benchmark_not_directly_comparable,medoid,8.636680603027344,142.54263305664062,0.9583235819408693,runs/phaseLIT_new_methods/simformer_official_hh_secondary_20260426/predictions_medoid.npz,runs/phaseLIT_new_methods/simformer_official_hh_secondary_20260426
a30runall__bayesflow_set_posterior_v100_20260426,a30runall__bayesflow_set_posterior_v100_20260426,bayesflow,assumption_conditioned_aligned_multicurrent_a30,median,564.6381225585938,2156897.75,0.5528860498389525,runs/phaseLIT_aligned_runall/bayesflow_set_posterior_v100_20260426/predictions_median.npz,runs/phaseLIT_aligned_runall/bayesflow_set_posterior_v100_20260426
a30runall__bayesflow_native_structured_currfusion_deltas_v100_20260425,a30runall__bayesflow_native_structured_currfusion_deltas_v100_20260425,bayesflow,assumption_conditioned_aligned_multicurrent_a30,medoid,580.2228393554688,1836226.0,0.6193596604343216,runs/phaseLIT_aligned_runall/bayesflow_native_structured_currfusion_deltas_v100_20260425/predictions_medoid.npz,runs/phaseLIT_aligned_runall/bayesflow_native_structured_currfusion_deltas_v100_20260425
a30runall__bayesflow_native_structured_currfusion_deltas_v100_20260425,a30runall__bayesflow_native_structured_currfusion_deltas_v100_20260425,bayesflow,assumption_conditioned_aligned_multicurrent_a30,mean,584.8388671875,1828445.125,0.6209725877330876,runs/phaseLIT_aligned_runall/bayesflow_native_structured_currfusion_deltas_v100_20260425/predictions_mean.npz,runs/phaseLIT_aligned_runall/bayesflow_native_structured_currfusion_deltas_v100_20260425
a30runall__bayesflow_native_meanstd_v100_20260425,a30runall__bayesflow_native_meanstd_v100_20260425,bayesflow,assumption_conditioned_aligned_multicurrent_a30,median,595.3659057617188,3149350.0,0.3471557131795491,runs/phaseLIT_aligned_runall/bayesflow_native_meanstd_v100_20260425/predictions_median.npz,runs/phaseLIT_aligned_runall/bayesflow_native_meanstd_v100_20260425
a30runall__bayesflow_native_structured_currfusion_deltas_v100_20260425,a30runall__bayesflow_native_structured_currfusion_deltas_v100_20260425,bayesflow,assumption_conditioned_aligned_multicurrent_a30,median,596.4461059570312,2728520.75,0.434391465695384,runs/phaseLIT_aligned_runall/bayesflow_native_structured_currfusion_deltas_v100_20260425/predictions_median.npz,runs/phaseLIT_aligned_runall/bayesflow_native_structured_currfusion_deltas_v100_20260425
a30runall__bayesflow_set_posterior_v100_20260426,a30runall__bayesflow_set_posterior_v100_20260426,bayesflow,assumption_conditioned_aligned_multicurrent_a30,mean,599.2100219726562,1804516.5,0.6259328790073392,runs/phaseLIT_aligned_runall/bayesflow_set_posterior_v100_20260426/predictions_mean.npz,runs/phaseLIT_aligned_runall/bayesflow_set_posterior_v100_20260426
a30runall__bayesflow_temporal_v100_20260426,a30runall__bayesflow_temporal_v100_20260426,bayesflow,assumption_conditioned_aligned_multicurrent_a30,median,600.002197265625,2450925.25,0.4919356053502545,runs/phaseLIT_aligned_runall/bayesflow_temporal_v100_20260426/predictions_median.npz,runs/phaseLIT_aligned_runall/bayesflow_temporal_v100_20260426
a30runall__swyft_tmnre_structured_stage1_v100_20260425,a30runall__swyft_tmnre_structured_stage1_v100_20260425,tmnre,assumption_conditioned_aligned_multicurrent_a30,median,603.3462524414062,1995063.375,0.5864334865887781,runs/phaseLIT_aligned_runall/swyft_tmnre_structured_stage1_v100_20260425/predictions_median.npz,runs/phaseLIT_aligned_runall/swyft_tmnre_structured_stage1_v100_20260425
a30runall__bayesflow_native_structured_currfusion_v100_20260425,a30runall__bayesflow_native_structured_currfusion_v100_20260425,bayesflow,assumption_conditioned_aligned_multicurrent_a30,median,603.4404296875,3151399.0,0.3467309658686134,runs/phaseLIT_aligned_runall/bayesflow_native_structured_currfusion_v100_20260425/predictions_median.npz,runs/phaseLIT_aligned_runall/bayesflow_native_structured_currfusion_v100_20260425
a30runall__bayesflow_temporal_v100_20260426,a30runall__bayesflow_temporal_v100_20260426,bayesflow,assumption_conditioned_aligned_multicurrent_a30,mean,606.3922729492188,1851379.0,0.616218520364723,runs/phaseLIT_aligned_runall/bayesflow_temporal_v100_20260426/predictions_mean.npz,runs/phaseLIT_aligned_runall/bayesflow_temporal_v100_20260426
a30runall__bayesflow_set_posterior_v100_20260426,a30runall__bayesflow_set_posterior_v100_20260426,bayesflow,assumption_conditioned_aligned_multicurrent_a30,medoid,608.9878540039062,1843660.375,0.6178185608286932,runs/phaseLIT_aligned_runall/bayesflow_set_posterior_v100_20260426/predictions_medoid.npz,runs/phaseLIT_aligned_runall/bayesflow_set_posterior_v100_20260426
a30runall__bayesflow_temporal_transformer_v100_20260426,a30runall__bayesflow_temporal_transformer_v100_20260426,bayesflow,assumption_conditioned_aligned_multicurrent_a30,median,612.8773803710938,2880422.25,0.40290305493301815,runs/phaseLIT_aligned_runall/bayesflow_temporal_transformer_v100_20260426/predictions_median.npz,runs/phaseLIT_aligned_runall/bayesflow_temporal_transformer_v100_20260426
a30runall__bayesflow_temporal_transformer_v100_20260426,a30runall__bayesflow_temporal_transformer_v100_20260426,bayesflow,assumption_conditioned_aligned_multicurrent_a30,mean,613.0729370117188,1917852.875,0.6024388317576386,runs/phaseLIT_aligned_runall/bayesflow_temporal_transformer_v100_20260426/predictions_mean.npz,runs/phaseLIT_aligned_runall/bayesflow_temporal_transformer_v100_20260426
a30runall__bayesflow_fusion_transformer_v100_20260426,a30runall__bayesflow_fusion_transformer_v100_20260426,bayesflow,assumption_conditioned_aligned_multicurrent_a30,median,616.4946899414062,2741875.25,0.43162318010598855,runs/phaseLIT_aligned_runall/bayesflow_fusion_transformer_v100_20260426/predictions_median.npz,runs/phaseLIT_aligned_runall/bayesflow_fusion_transformer_v100_20260426
a30runall__bayesflow_temporal_transformer_v100_20260426,a30runall__bayesflow_temporal_transformer_v100_20260426,bayesflow,assumption_conditioned_aligned_multicurrent_a30,medoid,617.15185546875,1925351.625,0.6008843616290451,runs/phaseLIT_aligned_runall/bayesflow_temporal_transformer_v100_20260426/predictions_medoid.npz,runs/phaseLIT_aligned_runall/bayesflow_temporal_transformer_v100_20260426
a30runall__bayesflow_temporal_v100_20260426,a30runall__bayesflow_temporal_v100_20260426,bayesflow,assumption_conditioned_aligned_multicurrent_a30,medoid,621.3133544921875,1917707.625,0.6024689240715986,runs/phaseLIT_aligned_runall/bayesflow_temporal_v100_20260426/predictions_medoid.npz,runs/phaseLIT_aligned_runall/bayesflow_temporal_v100_20260426
a30runall__swyft_native_aligned_currents_pool_v100_20260425,a30runall__swyft_native_aligned_currents_pool_v100_20260425,swyft,assumption_conditioned_aligned_multicurrent_a30,median,627.00341796875,3087819.75,0.3599106393017091,runs/phaseLIT_aligned_runall/swyft_native_aligned_currents_pool_v100_20260425/predictions_median.npz,runs/phaseLIT_aligned_runall/swyft_native_aligned_currents_pool_v100_20260425
a30runall__bayesflow_fusion_transformer_v100_20260426,a30runall__bayesflow_fusion_transformer_v100_20260426,bayesflow,assumption_conditioned_aligned_multicurrent_a30,mean,650.23193359375,2155915.0,0.5530897516565283,runs/phaseLIT_aligned_runall/bayesflow_fusion_transformer_v100_20260426/predictions_mean.npz,runs/phaseLIT_aligned_runall/bayesflow_fusion_transformer_v100_20260426
a30runall__bayesflow_fusion_transformer_v100_20260426,a30runall__bayesflow_fusion_transformer_v100_20260426,bayesflow,assumption_conditioned_aligned_multicurrent_a30,medoid,671.3162231445312,2253699.0,0.5328196242516825,runs/phaseLIT_aligned_runall/bayesflow_fusion_transformer_v100_20260426/predictions_medoid.npz,runs/phaseLIT_aligned_runall/bayesflow_fusion_transformer_v100_20260426
a30runall__bayesflow_native_v100_20260425,a30runall__bayesflow_native_v100_20260425,bayesflow,assumption_conditioned_aligned_multicurrent_a30,median,676.805908203125,2586240.0,0.46388556103750833,runs/phaseLIT_aligned_runall/bayesflow_native_v100_20260425/predictions_median.npz,runs/phaseLIT_aligned_runall/bayesflow_native_v100_20260425
a30runall__bayesflow_native_v100_20260425,a30runall__bayesflow_native_v100_20260425,bayesflow,assumption_conditioned_aligned_multicurrent_a30,medoid,702.5732421875,2353051.5,0.5122243547496175,runs/phaseLIT_aligned_runall/bayesflow_native_v100_20260425/predictions_medoid.npz,runs/phaseLIT_aligned_runall/bayesflow_native_v100_20260425
a30runall__temporal_cnn_aligned_v100_20260426,a30runall__temporal_cnn_aligned_v100_20260426,temporal_deterministic,assumption_conditioned_aligned_multicurrent_a30,mean,708.4140625,3786811.0,0.21501328000417907,runs/phaseLIT_aligned_runall/temporal_cnn_aligned_v100_20260426/predictions_mean.npz,runs/phaseLIT_aligned_runall/temporal_cnn_aligned_v100_20260426
a30runall__bayesflow_native_v100_20260425,a30runall__bayesflow_native_v100_20260425,bayesflow,assumption_conditioned_aligned_multicurrent_a30,mean,711.394775390625,2352019.25,0.5124383176662128,runs/phaseLIT_aligned_runall/bayesflow_native_v100_20260425/predictions_mean.npz,runs/phaseLIT_aligned_runall/bayesflow_native_v100_20260425
a30runall__fmpe_mlp_r2_pool4096_final2048,a30runall__fmpe_mlp_r2_pool4096_final2048,poolseq_sbi,assumption_conditioned_poolseq_sbi_a30,median,731.0700073242188,3136207.25,0.36313016534100273,runs/phaseLIT_aligned_runall/fmpe_mlp_r2_pool4096_final2048/predictions_median.npz,runs/phaseLIT_aligned_runall/fmpe_mlp_r2_pool4096_final2048
a30runall__swyft_native_concat_small_v100_20260425,a30runall__swyft_native_concat_small_v100_20260425,swyft,assumption_conditioned_aligned_multicurrent_a30,median,732.5712890625,3376958.0,0.2999737288225772,runs/phaseLIT_aligned_runall/swyft_native_concat_small_v100_20260425/predictions_median.npz,runs/phaseLIT_aligned_runall/swyft_native_concat_small_v100_20260425
