phase,strategy_id,n_runs,mean_mae,std_mae,mean_r2,mean_runtime_sec,task_ids
phaseAK_track4_a30_replication,avgpool_baseline,4,880.4621887207031,0.5375722130723546,-0.11461173556745052,67.65653944015503,"a30_replication__a30t4rep_0001,a30_replication__a30t4rep_0005,a30_replication__a30t4rep_0009,a30_replication__a30t4rep_0013"
phaseAK_track4_a30_replication,effnet_beta005_invstd,4,880.1575622558594,0.6576492181958506,-0.10601919516921043,195.90765070915222,"a30_replication__a30t4rep_0002,a30_replication__a30t4rep_0006,a30_replication__a30t4rep_0010,a30_replication__a30t4rep_0014"
phaseAK_track4_a30_replication,effnet_beta005_invvar,4,880.2243804931641,0.8780446697284716,-0.10717632807791233,197.31702655553818,"a30_replication__a30t4rep_0004,a30_replication__a30t4rep_0008,a30_replication__a30t4rep_0012,a30_replication__a30t4rep_0016"
phaseAK_track4_a30_replication,effnet_beta01_invstd,4,880.8195190429688,0.3849704869952103,-0.1099944207817316,199.31708800792694,"a30_replication__a30t4rep_0003,a30_replication__a30t4rep_0007,a30_replication__a30t4rep_0011,a30_replication__a30t4rep_0015"
phaseAL_track4_a30_gpu_profile,avgpool_baseline,2,880.4634094238281,0.191864013671875,-0.11636264622211456,58.8423570394516,"a30_gpu_profile__a30t4gpu_0001,a30_gpu_profile__a30t4gpu_0004"
phaseAL_track4_a30_gpu_profile,effnet_beta005_invstd,2,879.6884460449219,0.345245361328125,-0.10226989537477493,193.08214795589447,"a30_gpu_profile__a30t4gpu_0002,a30_gpu_profile__a30t4gpu_0005"
phaseAL_track4_a30_gpu_profile,effnet_beta005_invvar,2,880.775390625,0.49322509765625,-0.10411182045936584,196.67503774166107,"a30_gpu_profile__a30t4gpu_0003,a30_gpu_profile__a30t4gpu_0006"
phaseAM_track4_a30_effnet_schedule_retune,effnet_beta005_invstd_e400,3,880.6275431315104,1.387093106036596,-0.10728996743758519,201.73629593849182,"a30_effnet_schedule_retune__a30t4sch_0001,a30_effnet_schedule_retune__a30t4sch_0005,a30_effnet_schedule_retune__a30t4sch_0009"
phaseAM_track4_a30_effnet_schedule_retune,effnet_beta005_invstd_e600,3,882.6387125651041,2.5287895510460823,-0.11279814938704173,285.6938472588857,"a30_effnet_schedule_retune__a30t4sch_0003,a30_effnet_schedule_retune__a30t4sch_0007,a30_effnet_schedule_retune__a30t4sch_0011"
phaseAM_track4_a30_effnet_schedule_retune,effnet_beta005_invvar_e400,3,880.4891764322916,1.0986252015403566,-0.10554699351390202,196.01776583989462,"a30_effnet_schedule_retune__a30t4sch_0002,a30_effnet_schedule_retune__a30t4sch_0006,a30_effnet_schedule_retune__a30t4sch_0010"
phaseAM_track4_a30_effnet_schedule_retune,effnet_beta005_invvar_e600,3,881.4137980143229,1.5680297034242132,-0.10474956780672073,281.6370796362559,"a30_effnet_schedule_retune__a30t4sch_0004,a30_effnet_schedule_retune__a30t4sch_0008,a30_effnet_schedule_retune__a30t4sch_0012"
phaseAN_track4_a30_effnet_tail_schedule_retune,effnet_beta005_invstd_e400,2,880.2430725097656,0.161529541015625,-0.10625864192843437,194.1281476020813,"a30_effnet_tail_schedule_retune__a30t4tail_0001,a30_effnet_tail_schedule_retune__a30t4tail_0007"
phaseAN_track4_a30_effnet_tail_schedule_retune,effnet_beta005_invstd_e500,2,881.08544921875,0.07098388671875,-0.11084520071744919,238.31019461154938,"a30_effnet_tail_schedule_retune__a30t4tail_0006,a30_effnet_tail_schedule_retune__a30t4tail_0012"
phaseAN_track4_a30_effnet_tail_schedule_retune,effnet_beta005_invstd_lowfloor,2,879.7757873535156,0.513824462890625,-0.11160765588283539,193.94070518016815,"a30_effnet_tail_schedule_retune__a30t4tail_0003,a30_effnet_tail_schedule_retune__a30t4tail_0009"
