representative,row_id,seed,method,eval_baseline_drift_std,eval_mask_fraction,slurm_step_id,slurm_match_method,metrics_written_at,assigned_nodes,max_rss_mb,ave_rss_mb,sacct_end,sacct_nodelist,sacct_elapsed,sacct_state,alloc_tres,metrics_path
sbi_feature_aware_snpe_clean,v100cp2feat_0005,2001,snpe,0.0,0.0,368063.15,stderr_step_id,2026-04-23T17:10:40,fal103,1658.62109375,1658.62109375,2026-04-23T17:10:40,fal103,00:02:36,COMPLETED,"cpu=12,gres/gpu=1,mem=377088M,node=1",/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260423_v100_hh_track4_checkpoint2_snpe_feature_aware/runs/phaseCP2_track4_v100_snpe_feature_aware/concurrent_8x1n/v100cp2feat_0005/368063_v100cp2feat_0005/metrics_summary.json
sbi_feature_aware_snpe_clean,v100cp2feat_0006,2002,snpe,0.0,0.0,368063.13,stderr_step_id,2026-04-23T17:10:14,fal103,1582.203125,1582.203125,2026-04-23T17:10:15,fal103,00:02:19,COMPLETED,"cpu=12,gres/gpu=1,mem=377088M,node=1",/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260423_v100_hh_track4_checkpoint2_snpe_feature_aware/runs/phaseCP2_track4_v100_snpe_feature_aware/concurrent_8x1n/v100cp2feat_0006/368063_v100cp2feat_0006/metrics_summary.json
sbi_feature_aware_snpe_clean,v100cp2feat_0007,2003,snpe,0.0,0.0,368063.8,stderr_step_id,2026-04-23T17:09:37,fal108,1587.98046875,1587.98046875,2026-04-23T17:09:38,fal108,00:02:18,COMPLETED,"cpu=12,gres/gpu=1,mem=377088M,node=1",/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260423_v100_hh_track4_checkpoint2_snpe_feature_aware/runs/phaseCP2_track4_v100_snpe_feature_aware/concurrent_8x1n/v100cp2feat_0007/368063_v100cp2feat_0007/metrics_summary.json
sbi_feature_aware_snpe_clean,v100cp2feat_0008,2004,snpe,0.0,0.0,368063.10,stderr_step_id,2026-04-23T17:09:18,fal108,1587.046875,1587.046875,2026-04-23T17:09:19,fal108,00:01:31,COMPLETED,"cpu=12,gres/gpu=1,mem=377088M,node=1",/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260423_v100_hh_track4_checkpoint2_snpe_feature_aware/runs/phaseCP2_track4_v100_snpe_feature_aware/concurrent_8x1n/v100cp2feat_0008/368063_v100cp2feat_0008/metrics_summary.json
sbi_fmpe_clean,v100cp2modsbi_0001,2001,fmpe,0.0,0.0,368063.64,metrics_written_timestamp,2026-04-23T19:54:05,fal101,1595.4296875,1595.4296875,2026-04-23T19:54:05,fal101,00:03:00,COMPLETED,"cpu=12,gres/gpu=1,mem=377088M,node=1",/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260423_v100_hh_track4_checkpoint2_modern_sbi/runs/phaseCP2_track4_v100_modern_sbi/concurrent_8x1n/v100cp2modsbi_0001/368063_v100cp2modsbi_0001/metrics_summary.json
sbi_fmpe_clean,v100cp2modsbi_0003,2002,fmpe,0.0,0.0,368063.66,metrics_written_timestamp,2026-04-23T19:53:58,fal102,1595.5078125,1595.5078125,2026-04-23T19:53:58,fal102,00:02:53,COMPLETED,"cpu=12,gres/gpu=1,mem=377088M,node=1",/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260423_v100_hh_track4_checkpoint2_modern_sbi/runs/phaseCP2_track4_v100_modern_sbi/concurrent_8x1n/v100cp2modsbi_0003/368063_v100cp2modsbi_0003/metrics_summary.json
sbi_fmpe_clean,v100cp2modsbi_0005,2003,fmpe,0.0,0.0,368063.68,metrics_written_timestamp_nearest_1s,2026-04-23T19:54:00,fal103,1592.41796875,1592.41796875,2026-04-23T19:54:01,fal103,00:02:56,COMPLETED,"cpu=12,gres/gpu=1,mem=377088M,node=1",/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260423_v100_hh_track4_checkpoint2_modern_sbi/runs/phaseCP2_track4_v100_modern_sbi/concurrent_8x1n/v100cp2modsbi_0005/368063_v100cp2modsbi_0005/metrics_summary.json
sbi_fmpe_clean,v100cp2modsbi_0007,2004,fmpe,0.0,0.0,368063.70,metrics_written_timestamp_nearest_1s,2026-04-23T19:53:56,fal108,1593.8046875,1593.8046875,2026-04-23T19:53:57,fal108,00:02:52,COMPLETED,"cpu=12,gres/gpu=1,mem=377088M,node=1",/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260423_v100_hh_track4_checkpoint2_modern_sbi/runs/phaseCP2_track4_v100_modern_sbi/concurrent_8x1n/v100cp2modsbi_0007/368063_v100cp2modsbi_0007/metrics_summary.json
sbi_npse_clean_not_promoted,v100cp2modsbi_0002,2001,npse,0.0,0.0,368063.65,metrics_written_timestamp,2026-04-23T19:59:07,fal101,1561.00390625,1561.00390625,2026-04-23T19:59:07,fal101,00:08:02,COMPLETED,"cpu=12,gres/gpu=1,mem=377088M,node=1",/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260423_v100_hh_track4_checkpoint2_modern_sbi/runs/phaseCP2_track4_v100_modern_sbi/concurrent_8x1n/v100cp2modsbi_0002/368063_v100cp2modsbi_0002/metrics_summary.json
sbi_npse_clean_not_promoted,v100cp2modsbi_0004,2002,npse,0.0,0.0,368063.67,metrics_written_timestamp_nearest_1s,2026-04-23T19:59:14,fal102,1560.77734375,1560.77734375,2026-04-23T19:59:15,fal102,00:08:10,COMPLETED,"cpu=12,gres/gpu=1,mem=377088M,node=1",/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260423_v100_hh_track4_checkpoint2_modern_sbi/runs/phaseCP2_track4_v100_modern_sbi/concurrent_8x1n/v100cp2modsbi_0004/368063_v100cp2modsbi_0004/metrics_summary.json
sbi_npse_clean_not_promoted,v100cp2modsbi_0006,2003,npse,0.0,0.0,368063.69,metrics_written_timestamp_nearest_1s,2026-04-23T19:59:18,fal103,1557.4296875,1557.4296875,2026-04-23T19:59:19,fal103,00:08:14,COMPLETED,"cpu=12,gres/gpu=1,mem=377088M,node=1",/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260423_v100_hh_track4_checkpoint2_modern_sbi/runs/phaseCP2_track4_v100_modern_sbi/concurrent_8x1n/v100cp2modsbi_0006/368063_v100cp2modsbi_0006/metrics_summary.json
sbi_npse_clean_not_promoted,v100cp2modsbi_0008,2004,npse,0.0,0.0,368063.71,metrics_written_timestamp_nearest_1s,2026-04-23T19:59:17,fal108,1618.42578125,1618.42578125,2026-04-23T19:59:18,fal108,00:08:13,COMPLETED,"cpu=12,gres/gpu=1,mem=377088M,node=1",/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260423_v100_hh_track4_checkpoint2_modern_sbi/runs/phaseCP2_track4_v100_modern_sbi/concurrent_8x1n/v100cp2modsbi_0008/368063_v100cp2modsbi_0008/metrics_summary.json
sbi_snpe_matched_drift010,v100cp2corr_0002,2001,snpe,0.1,0.0,368063.33,metrics_written_timestamp_nearest_1s,2026-04-23T19:07:10,fal101,1586.72265625,1586.72265625,2026-04-23T19:07:11,fal101,00:01:31,COMPLETED,"cpu=12,gres/gpu=1,mem=377088M,node=1",/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260423_v100_hh_track4_checkpoint2_snpe_corruption_aware/runs/phaseCP2_track4_v100_snpe_corruption_aware/concurrent_8x1n/v100cp2corr_0002/368063_v100cp2corr_0002/metrics_summary.json
sbi_snpe_matched_drift010,v100cp2corr_0004,2002,snpe,0.1,0.0,368063.35,metrics_written_timestamp,2026-04-23T19:07:52,fal102,1586.75390625,1586.75390625,2026-04-23T19:07:52,fal102,00:02:12,COMPLETED,"cpu=12,gres/gpu=1,mem=377088M,node=1",/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260423_v100_hh_track4_checkpoint2_snpe_corruption_aware/runs/phaseCP2_track4_v100_snpe_corruption_aware/concurrent_8x1n/v100cp2corr_0004/368063_v100cp2corr_0004/metrics_summary.json
