row_id,label,status,node,started_at,ended_at,return_code,command,stdout_log,stderr_log
acdhh_4001,prediction_bayesflow_native_structured_currfusion_deltas_v100_20260425_medoid,COMPLETED,fal101,2026-04-26T00:47:49-04:00,2026-04-26T00:48:17-04:00,0,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /projects/neuro-collab/conda/neuro-collab-env/bin/python scripts/run_hh_track4_assumption_conditioned_hybrid_refinement_surrogate_bundle_integration_20260425.py --bundle-label prediction_bayesflow_native_structured_currfusion_deltas_v100_20260425_medoid --init-mode prediction --prediction-file /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_run_all_literature_plan/runs/bayesflow_native_structured_currfusion_deltas_v100_20260425/predictions_medoid.npz --n-exemplars 3 --trace-length 2000 --maxiter 120,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_4001.out,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_4001.err
acdhh_4002,prediction_bayesflow_native_structured_currfusion_deltas_v100_20260425_mean,COMPLETED,fal102,2026-04-26T00:47:49-04:00,2026-04-26T00:48:17-04:00,0,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /projects/neuro-collab/conda/neuro-collab-env/bin/python scripts/run_hh_track4_assumption_conditioned_hybrid_refinement_surrogate_bundle_integration_20260425.py --bundle-label prediction_bayesflow_native_structured_currfusion_deltas_v100_20260425_mean --init-mode prediction --prediction-file /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_run_all_literature_plan/runs/bayesflow_native_structured_currfusion_deltas_v100_20260425/predictions_mean.npz --n-exemplars 3 --trace-length 2000 --maxiter 120,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_4002.out,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_4002.err
acdhh_4004,prediction_bayesflow_native_structured_currfusion_v100_20260425_medoid,COMPLETED,fal108,2026-04-26T00:47:49-04:00,2026-04-26T00:48:17-04:00,0,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /projects/neuro-collab/conda/neuro-collab-env/bin/python scripts/run_hh_track4_assumption_conditioned_hybrid_refinement_surrogate_bundle_integration_20260425.py --bundle-label prediction_bayesflow_native_structured_currfusion_v100_20260425_medoid --init-mode prediction --prediction-file /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_run_all_literature_plan/runs/bayesflow_native_structured_currfusion_v100_20260425/predictions_medoid.npz --n-exemplars 3 --trace-length 2000 --maxiter 120,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_4004.out,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_4004.err
acdhh_4003,prediction_bayesflow_native_structured_currfusion_deltas_v100_20260425_median,COMPLETED,fal103,2026-04-26T00:47:49-04:00,2026-04-26T00:48:23-04:00,0,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /projects/neuro-collab/conda/neuro-collab-env/bin/python scripts/run_hh_track4_assumption_conditioned_hybrid_refinement_surrogate_bundle_integration_20260425.py --bundle-label prediction_bayesflow_native_structured_currfusion_deltas_v100_20260425_median --init-mode prediction --prediction-file /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_run_all_literature_plan/runs/bayesflow_native_structured_currfusion_deltas_v100_20260425/predictions_median.npz --n-exemplars 3 --trace-length 2000 --maxiter 120,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_4003.out,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_4003.err
acdhh_4005,prediction_bayesflow_native_structured_currfusion_v100_20260425_mean,COMPLETED,fal108,2026-04-26T00:48:12-04:00,2026-04-26T00:48:34-04:00,0,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /projects/neuro-collab/conda/neuro-collab-env/bin/python scripts/run_hh_track4_assumption_conditioned_hybrid_refinement_surrogate_bundle_integration_20260425.py --bundle-label prediction_bayesflow_native_structured_currfusion_v100_20260425_mean --init-mode prediction --prediction-file /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_run_all_literature_plan/runs/bayesflow_native_structured_currfusion_v100_20260425/predictions_mean.npz --n-exemplars 3 --trace-length 2000 --maxiter 120,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_4005.out,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_4005.err
acdhh_4006,prediction_swyft_native_aligned_currents_pool_v100_20260425_median,COMPLETED,fal101,2026-04-26T00:48:18-04:00,2026-04-26T00:48:45-04:00,0,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /projects/neuro-collab/conda/neuro-collab-env/bin/python scripts/run_hh_track4_assumption_conditioned_hybrid_refinement_surrogate_bundle_integration_20260425.py --bundle-label prediction_swyft_native_aligned_currents_pool_v100_20260425_median --init-mode prediction --prediction-file /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_run_all_literature_plan/runs/swyft_native_aligned_currents_pool_v100_20260425/predictions_median.npz --n-exemplars 3 --trace-length 2000 --maxiter 120,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_4006.out,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_4006.err
acdhh_4007,prediction_bayesflow_native_meanstd_v100_20260425_mean,COMPLETED,fal102,2026-04-26T00:48:18-04:00,2026-04-26T00:48:51-04:00,0,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /projects/neuro-collab/conda/neuro-collab-env/bin/python scripts/run_hh_track4_assumption_conditioned_hybrid_refinement_surrogate_bundle_integration_20260425.py --bundle-label prediction_bayesflow_native_meanstd_v100_20260425_mean --init-mode prediction --prediction-file /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_run_all_literature_plan/runs/bayesflow_native_meanstd_v100_20260425/predictions_mean.npz --n-exemplars 3 --trace-length 2000 --maxiter 120,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_4007.out,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_4007.err
acdhh_4009,prediction_bayesflow_native_meanstd_v100_20260425_median,COMPLETED,fal108,2026-04-26T00:48:35-04:00,2026-04-26T00:49:02-04:00,0,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /projects/neuro-collab/conda/neuro-collab-env/bin/python scripts/run_hh_track4_assumption_conditioned_hybrid_refinement_surrogate_bundle_integration_20260425.py --bundle-label prediction_bayesflow_native_meanstd_v100_20260425_median --init-mode prediction --prediction-file /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_run_all_literature_plan/runs/bayesflow_native_meanstd_v100_20260425/predictions_median.npz --n-exemplars 3 --trace-length 2000 --maxiter 120,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_4009.out,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_4009.err
acdhh_4011,prediction_bayesflow_native_meanstd_v100_20260425_medoid,COMPLETED,fal102,2026-04-26T00:48:51-04:00,2026-04-26T00:49:02-04:00,0,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /projects/neuro-collab/conda/neuro-collab-env/bin/python scripts/run_hh_track4_assumption_conditioned_hybrid_refinement_surrogate_bundle_integration_20260425.py --bundle-label prediction_bayesflow_native_meanstd_v100_20260425_medoid --init-mode prediction --prediction-file /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_run_all_literature_plan/runs/bayesflow_native_meanstd_v100_20260425/predictions_medoid.npz --n-exemplars 3 --trace-length 2000 --maxiter 120,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_4011.out,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_4011.err
acdhh_4008,prediction_bayesflow_native_structured_currfusion_v100_20260425_median,COMPLETED,fal103,2026-04-26T00:48:18-04:00,2026-04-26T00:49:24-04:00,0,cd /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch && /projects/neuro-collab/conda/neuro-collab-env/bin/python scripts/run_hh_track4_assumption_conditioned_hybrid_refinement_surrogate_bundle_integration_20260425.py --bundle-label prediction_bayesflow_native_structured_currfusion_v100_20260425_median --init-mode prediction --prediction-file /projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_run_all_literature_plan/runs/bayesflow_native_structured_currfusion_v100_20260425/predictions_median.npz --n-exemplars 3 --trace-length 2000 --maxiter 120,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_4008.out,/projects/neuro-collab/code/fhn_dnn-1-implementation-in-pytorch/data/important_notes/optimization_track_20260425_hh_track4_assumption_conditioned_surrogate_bundle/logs/acdhh_4008.err
